date_added,title,company,location,requirements,salary,contract_type,working_hours,link,source
10/5/2025 14:40,کارشناس ارشد مخابرات سیستم (پردازش سیگنال),مرکز تحقیقات و نوآوری فجر,"تهران، فرجام","شرح شغل و وظایف:
• شرح موقعیت شغلی:ما به‌دنبال یک کارشناس ارشد مخابرات سیستمی با دانش عمیق در حوزه طراحی و پیاده سازی الگوریتم های پردازش سیگنال و هوش مصنوعی هستیم. فرد منتخب در پروژه‌های تحقیقاتی و صنعتی مرتبط با تحلیل، شناسایی و تخمین پارامترهای سیگنال‌های مخابراتی و تولید پایگاه داده سیگنالی فعالیت خواهد کرد.وظایف و مسئولیت‌ها:طراحی و پیاده‌سازی زنجیره پردازش سیگنال‌های RF و IQتوسعه مدل‌های یادگیری ماشین برای طبقه‌بندی و شناسایی سیگنالتحلیل طیف، زمان-فرکانس و ویژگی‌های آماری سیگنال‌هامستندسازی و همکاری با تیم تحقیق و توسعه برای توسعه سامانه‌های هوشمند رادیوییمهارت‌ها و توانایی‌های مورد نیاز:تسلط بر GNU Radio, MATLAB, Simulinkآشنایی بر مفاهیم سیستم‌های مخابراتی، رادیو نرم‌افزار (SDR)هوش مصنوعی و یادگیری ماشینتسلط بر Python و کتابخانه‌های NumPy، SciPy، scikit-learn، TensorFlow یا PyTorchتوانایی طراحی مدل‌های طبقه‌بندی سیگنال با استفاده از CNN / RNN / Transformerزبان‌ها و نرم‌افزارهای برنامه‌نویسیPython (الزامی)C/C++ (امتیاز دارد)MATLAB(الزامی)Bash / Linux scripting(الزامی)مزایا:امریه سربازی(آقایان)طرح کسری خدمت یا نخبگی(آقایان)محیط دوستانه و کار تیمیبیمه تامین اجتماعینزدیکی به مترو

شرایط احراز:
• جنسیتتفاوتی نداردتحصیلاتکارشناسی ارشد|مهندسی برقزبانانگلیسی|پیشرفته ۹۰٪نرم افزارهاMicrosoft Word|پیشرفتهMicrosoft Excel|پیشرفتهMicrosoft Project|مقدماتیMicrosoft Powerpoint|پیشرفتهC++|متوسطPython|متوسطMATLAB|متوسط",35 - 50 میلیون تومان,تمام وقت,تمام‌وقت,https://jobvision.ir/jobs/1220242/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-%DA%A9%D8%A7%D8%B1%D8%B4%D9%86%D8%A7%D8%B3-%D8%A7%D8%B1%D8%B4%D8%AF-%D9%85%D8%AE%D8%A7%D8%A8%D8%B1%D8%A7%D8%AA-%D8%B3%DB%8C%D8%B3%D8%AA%D9%85-%D9%BE%D8%B1%D8%AF%D8%A7%D8%B2%D8%B4-%D8%B3%DB%8C%DA%AF%D9%86%D8%A7%D9%84,JobVision
10/5/2025 14:40,٦٧٧ آگهی استخدام هوش مصنوعی در تهران,مرکز تحقیقات و نوآوری فجر,"تهران، فرجام",N/A,35 - 50 میلیون تومان,پاره وقت,دورکاری,https://jobvision.ir/jobs/keyword/%D9%87%D9%88%D8%B4%20%D9%85%D8%B5%D9%86%D9%88%D8%B9%DB%8C/category/in-all-cities-of-tehran,JobVision
10/5/2025 14:40,کارشناس پایش فضای مجازی,N/A,"تهران، پاسداران","شرح شغل و وظایف:
• کلیت وظایف مورد انتظار:• آشنا به موتورهای جستجوی مجازی، جستجوی پیشرفته و تکنیک های اوسینت (جستجوی متن باز در فضای مجازی)• آشنا به شبکه های اجتماعی و ساز و کار پایش و رصد هوشمند و پالایش داده های مجازی متن باز• تسلط به icdl• آشنا به گزارش نویسی تحلیلی• دارای قدرت تحلیل و توانایی استدلال و استنتاج و دریافت داده از محتوای متنی و چندرسانه ای• علاقه‌مند به یادگیری و کار تیمی و همکاری گروهی• آشنا به زیست بوم و تحولات فرهنگ و هنر• کار با ابزارها و سامانه های داده کاوی و پایشگر فضای مجازیدارا بودن موارد زیر مزیت محسوب می‌شود:• آشنایی با مفاهیم پایه تحلیل کلان داده ها• مهارت در گزارش نویسی ساختار یافته و اراده بصری نتایج• تجربه کار با ابزارها و سامانه‌های داده‌کاوی و پایشگر فضای مجازی• پر انرژی، شاداب، مسئولیت‌پذیر و دقیق (رعایت نظم و قواعد کاری)• متاهل و متعهد• داشتن سابقه کار مرتبط• نزدیکی محل سکونت به دفتر کار• آشنایی با کامپیوتر و نرم افزارهای عمومیمزایای شغلی:• بیمه تامین اجتماعی و تکمیلی (پس از طی دوره یکماهه آزمایشی)• پرداخت اضافه کاری مطابق برنامه زمانی تایید شده• محیط کاری سالم، چابک و پویا• پرداخت حق‌الزحمه (بالاتر از حداقل حقوق مصوب وزارت کار)• رفاهیات سالیانه و فصلی* پایبندی به اصول اخلاقی(فرهنگی و مذهبی) و التزام عملی به نظام جمهوری اسلامی از شروط اصلی احراز صلاحیت همکاری می باشد* ارائه ضمانت سفته با امضای ضامن معتبر، پس از پذیرش کارپذیر، ضروریست

شرایط احراز:
• سن25 - 35 سالجنسیتتفاوتی نداردنرم افزارهاMicrosoft Word|متوسطMicrosoft Excel|متوسط",20 - 30 میلیون تومان,تمام وقت,تمام‌وقت,https://jobvision.ir/jobs/1220125/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-%DA%A9%D8%A7%D8%B1%D8%B4%D9%86%D8%A7%D8%B3-%D9%BE%D8%A7%DB%8C%D8%B4-%D9%81%D8%B6%D8%A7%DB%8C-%D9%85%D8%AC%D8%A7%D8%B2%DB%8C,JobVision
10/5/2025 14:40,طراح گرافیک,آژانس خلاقیت آن,"تهران، چیذر","شرح شغل و وظایف:
• به دنبال فردی هستیم که توانایی ترکیب هنر و تکنولوژی را داشته باشد و بتواند با استفاده از تکنیک بروز و نرم‌افزارهای گرافیکی، محتوای دیجیتال خلاق و اثرگذار خلق کند.وظایف و مسئولیت‌هاتولید محتوای بصری (عکس، ویدیو، گرافیک) با بهره‌گیری از ابزارهای AI و تکنیک فوتومونتاژویرایش و هماهنگ‌سازی محتوا با هویت بصری برندطراحی پست‌ها، بنرها و سایر اقلام گرافیک دیجیتالرصد و به‌کارگیری ترندهای روز در کمپین‌های بازاریابیمهارت‌ها و شرایط احرازتجربه عملی در تولید محتوای دیجیتالتسلط کامل و حرفه ای به Photoshop و Illustratorآشنایی با ابزارهای هوش مصنوعیشناخت ساختار محتوای مناسب برای شبکه‌های اجتماعی",30 - 40 میلیون تومان,تمام وقت,تمام‌وقت,https://jobvision.ir/jobs/1200049/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-%D8%B7%D8%B1%D8%A7%D8%AD-%DA%AF%D8%B1%D8%A7%D9%81%DB%8C%DA%A9,JobVision
10/5/2025 14:40,طراح گرافیک - آقا,"برقتو
4.6","تهران، سازمان برنامه","شرح شغل و وظایف:
• ما در مجموعه ""برقتو"" به دنبال یک همکار توانمند و خلاق در حوزه گرافیک برای تکمیل تیم مارکتینگ خود هستیم. اگر ویژگی‌های زیر را دارید، ما مشتاق به همکاری با شما هستیم:شرح وظایف:طراحی کاور، پست و استوری برای شبکه‌های اجتماعیطراحی بنرهای تبلیغاتی و موارد گرافیکی برای کمپین‌های بازاریابیعکاسی و فیلم‌برداری برای محتوای دیجیتال و چاپیآشنایی با تدوین و ویرایش ویدئو با استفاده از نرم‌افزارهای تخصصیضبط و تولید ویدیوهای اسکرین ریکورد (Screen Record)طراحی تایپوگرافی‌های اختصاصی و خلاقانهاستفاده از ابزارهای هوش مصنوعی در خلق محتوای بصریآماده‌سازی فایل‌ها و رعایت اصول چاپ و تولید فیزیکی محتواهمکاری در برگزاری وبینارها، سمینارها و سایر رویدادهای آنلاین و حضوریانجام ماموریت‌ها و پروژه‌های خارج از استان تهران در صورت نیازالزامات:تسلط بر نرم‌افزارهای گرافیکی مانند Photoshop، Illustrator و سایر نرم‌افزارهای طراحیآشنایی با نرم‌افزارهای تدوین مانند Premiere و نرم‌افزارهای مشابهمسلط به فیلم‌برداری و عکاسی حرفه‌ایتسلط بر پلتفرم‌ها و ابزارهای هوش مصنوعی مرتبط با طراحیتوانایی مدیریت همزمان چند پروژه و تحویل به‌موقعآشنایی با اصول برندینگ و هویت بصریتوانایی ضبط ویدیوهای اسکرین ریکورد و آموزش تصویریمزایا:حقوق ثابت وزارت کار و پرداخت به موقعمحیط کاری پویا و تیمیفرصت یادگیری و توسعه مهارت‌ها در حوزه طراحی و تولید محتواارائه نمونه کار حرفه‌ای الزامی استعلاقه‌مندان، لطفاً رزومه و نمونه کارهای خود را ارسال کنند. منتظر شما هستیم!

شرایط احراز:
• تسلط بر نرم‌افزارهای گرافیکی مانند Photoshop، Illustrator و سایر نرم‌افزارهای طراحیآشنایی با نرم‌افزارهای تدوین مانند Premiere و نرم‌افزارهای مشابهمسلط به فیلم‌برداری و عکاسی حرفه‌ایتسلط بر پلتفرم‌ها و ابزارهای هوش مصنوعی مرتبط با طراحیتوانایی مدیریت همزمان چند پروژه و تحویل به‌موقعآشنایی با اصول برندینگ و هویت بصریتوانایی ضبط ویدیوهای اسکرین ریکورد و آموزش تصویری
• حقوق ثابت وزارت کار و پرداخت به موقعمحیط کاری پویا و تیمیفرصت یادگیری و توسعه مهارت‌ها در حوزه طراحی و تولید محتوا
• ارائه نمونه کار حرفه‌ای الزامی است",30 - 35 میلیون تومان,تمام وقت,تمام‌وقت,https://jobvision.ir/jobs/1220366/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-%D8%B7%D8%B1%D8%A7%D8%AD-%DA%AF%D8%B1%D8%A7%D9%81%DB%8C%DA%A9---%D8%A2%D9%82%D8%A7,JobVision
10/5/2025 14:40,کارشناس تولید محتوا,گروه صنعتی پرداد,"تهران، سهروردی","شرح شغل و وظایف:
• محتوا نویس با تسلط نوشتار سئو و بازاریابی محتوا برای وبسایت فروش قطعات و تجهیزات صنعتیتسلط بر نوشتار صنعتی و بازاریابی الزامیست و داشتن نمونه کار از یکی از فیلد های صنعتی زیر مزیت محسوب می گرددشیرالات صنعتی / لوله / شیلنگبیرینگ / تسمه انتقال نیرو / زنجیر صنعتیاستفاده از هوش مصنوعی اکیدا ممنوع استکار به صورت پروژه ای و دورکاری است و هزینه ها بر محاسبه هر کلمه پرداخت میشود لطفا رزومه خود را دقیق ارسال فرمایید

شرایط احراز:
• سن18 - 30 سالجنسیتتفاوتی نداردتحصیلاتکاردانی|کامپیوتر / فناوری اطلاعاتزبانانگلیسی|بالاتر از متوسط ۷۰٪نرم افزارهاMicrosoft Word|متوسطMicrosoft Excel|متوسطWordpress|متوسط",20 - 30 میلیون تومان,پاره وقت,دورکاری,https://jobvision.ir/jobs/1219980/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-%DA%A9%D8%A7%D8%B1%D8%B4%D9%86%D8%A7%D8%B3-%D8%AA%D9%88%D9%84%DB%8C%D8%AF-%D9%85%D8%AD%D8%AA%D9%88%D8%A7,JobVision
10/5/2025 14:41,برنامه نویس حرفه ای PHP,"فالنیک (ایران اچ پی)
4.2","تهران، فردوسی","شرح شغل و وظایف:
• آیا شما یک برنامه‌نویس وردپرس هستید که به دنبال یک محیط پویا برای دیده شدن کدها و ایده‌هایتان می‌گردید؟آیا آماده‌اید تا مهارت‌هایتان را در پروژه‌های واقعی و چالش‌برانگیز به کار گیرید و عضوی کلیدی از یک تیم حرفه‌ای باشید؟فالنیک (ایران اچ پی)، به دنبال یک برنامه‌نویس با استعداد و متعهد وردپرس (PHP) است که با دانش عمیق و توانایی عملی خود، به توسعه و بهبود پلتفرم‌های ما کمک کند. اگر عاشق کدنویسی هستید و دوست دارید تأثیر کارتان را در دنیای واقعی ببینید، جای شما در تیم ما خالی است!وظایف و مسئولیت های کلیدی:توسعه و نگهداری وب‌سایت‌های وردپرسی و فروشگاه‌های ووکامرسی.تبدیل طرح‌های UI/UX به قالب‌های وردپرسی واکنش‌گرا با دقت و کیفیت بالا.توسعه پلاگین‌های اختصاصی برای وردپرس و ووکامرس بر اساس نیازهای پروژه.بهینه‌سازی و کار با دیتابیس MySQL برای بهبود عملکرد سایت.یکپارچه‌سازی و کار با ابزارهای هوش مصنوعی (AI) و پلتفرم‌های اتومیشن مانند N8N در پروژه‌ها.همکاری نزدیک با تیم‌های دیگر برای اطمینان از کیفیت بالای خروجی نهایی.بهبود و مدیریت سیستم‌های کشینگ (Caching) و شبکه‌های توزیع محتوا (CDN) برای افزایش سرعت و پایداری سایت.نیازمندی ها و مهارت های تخصصی:تسلط کامل بر PHP و ساختار وردپرس و ووکامرس.مهارت بالا در HTML, CSS, JavaScript و کتابخانه jQuery.تجربه در توسعه قالب (Theme) و پلاگین (Plugin) از پایه.تجربه کاری قوی با دیتابیس MySQL و توانایی نوشتن کوئری‌های بهینه.علاقه‌مند و دارای تجربه در زمینه کار با APIها و ابزارهای هوش مصنوعی (AI).آشنایی با پلتفرم‌های اتومیشن و گردش کار مانند N8N.آشنایی با مفاهیم کشینگ (Server-side & Client-side) و CDN مانند Cloudflare.توانایی حل مسئله، مدیریت زمان و روحیه کار تیمی.روز و ساعت کاری  :شنبه تا چهارشنبه 8:30 الی 17:30مزایا و تسهیلات :وام، پاداش، بیمه درمان تکمیلی، پورسانت، کمک هزینه دوره آموزشی، بن خرید، کتابخانه، بسته ها وهدایای مناسبتی

شرایط احراز:
• سن25 - 35 سالجنسیتتفاوتی نداردنرم افزارهاHtml & CSS|متوسطJavaScript|متوسطPHP|متوسطWordpress|پیشرفته",40 - 50 میلیون تومان,تمام وقت,تمام‌وقت,https://jobvision.ir/jobs/1197188/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-%D8%A8%D8%B1%D9%86%D8%A7%D9%85%D9%87-%D9%86%D9%88%DB%8C%D8%B3-%D8%AD%D8%B1%D9%81%D9%87-%D8%A7%DB%8C-php,JobVision
10/5/2025 14:41,موشن گرافیست و تدوین‌گر ویدئو,تریبون,"تهران، آزادی","شرح شغل و وظایف:
• ما درتریبونبا هدف خلق بهترین تجربه برای مشتریان، به دنبال همکارانی خلاق، دقیق و علاقه‌مند به تولید محتوای باکیفیت هستیم تا در نقشموشن گرافیستوتدوین‌گر ویدئوبه تیم ما بپیوندند. تیم تولید محتوای تریبون نقشی کلیدی در انتقال پیام برند و معرفی خدمات ما به مخاطبان دارد؛ چرا که خلق محتوای دیداری اثرگذار، بخشی جدانشدنی از هویت و ماموریت ماست.در این جایگاه، شما در کنار تیم‌های بازاریابی و تولید محتوا فعالیت خواهید کرد تا ایده‌ها را به ویدئوهای جذاب، منسجم و حرفه‌ای تبدیل کنید. خلاقیت در روایت بصری، دقت در تدوین و تسلط بر ابزارهای طراحی و ویدئویی از مهم‌ترین عوامل موفقیت در این نقش است.مسئولیت‌ها و انتظارات:تدوین و تولید ویدئوهای مرتبط با شبکه‌های اجتماعیساخت و تولید ویدئوهای کوتاه و تیزرهای معرفی خدمات و محصولات تریبونطراحی و اجرای موشن‌گرافیک‌های خلاقانه و متناسب با هویت بصری برندتصویربرداری از رویدادها و برنامه‌های داخلی شرکتمهارت‌های مورد نیاز:2 سال سابقه کاری مرتبط در حوزه تدوین و موشن‌گرافیتسلط کامل بر نرم‌افزارهای تدوین و تولید موشن‌گرافیک مانند After Effects، Premiere Proخلاقیت، ایده‌پردازی و توانایی تبدیل مفاهیم به محتوای بصری جذابآشنایی با ترندها و سبک‌های روز در حوزه تولید محتوای ویدئوییتوانایی کار تیمی و برقراری ارتباط موثرمهارت در به‌کارگیری ابزارها و راهکارهای مبتنی بر هوش مصنوعی در فرآیند تولید محتواروحیه کار تیمیمسئولیت‌پذیردقت در انجام پروژه‌هاآشنایی با مفاهیم و اصول دیجیتال مارکتینگ مزیت محسوب می‌شود.مزایای همکاری با ما:بیمه تکمیلیوعده ناهارهدایای مناسبتیساعت کاری منعطفبودجه آموزشیکار در محیطی پویا و دانش‌بنیانامکان رشد و پیشرفت شغلی

شرایط احراز:
• مزایای همکاری با ما:",30 - 35 میلیون تومان,تمام وقت,تمام‌وقت,https://jobvision.ir/jobs/1219753/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-%D9%85%D9%88%D8%B4%D9%86-%DA%AF%D8%B1%D8%A7%D9%81%DB%8C%D8%B3%D8%AA-%D9%88-%D8%AA%D8%AF%D9%88%DB%8C%D9%86%E2%80%8C%DA%AF%D8%B1-%D9%88%DB%8C%D8%AF%D8%A6%D9%88,JobVision
10/5/2025 14:41,کارشناس سئو و تولید محتوا,فناوری فیال بنا,"تهران، قبا","شرح شغل و وظایف:
• ما در شرکت دیجیتال مارکتینگ بین المللی fial به یک کارشناس سئو با قابلیت تولید محتوا متنی نیازمندیممشخصات مورد انتظار کارجو:- دارای نمونه کار قابل ارائه- قابلیت فعالیت روی چند پروژه به صورت همزمان- آشنایی کامل با فاکتور های Seo وبسایت، بلاگ و وب اپلیکیشن- قابلیت تولید محتوا متنی انگلیسی- آشنایی کامل با هوش مصنوعی و تولید محتوا برای Seo با بهره گیری از آن- علاقمند به یادگیری و کنجکاو در حوزه کاریشرایط کاری:- محیط امن و آرام و بدون حاشیه- امکان پیشرفت و آزادی عمل در حوزه کاری- همکاری با تیم جوان و به روز- امکان یادگیری تخصص های مشابه- سیستم و فضای کاری شخصیاین پوزیشن به صورت تمام وقت بوده و حضور کارجو محترم در محل کار الزامیست، لذا از ارسال درخواست برای فعالیت به صورت دورکاری خودداری کنید.

شرایط احراز:
• سن18 - 30 سالجنسیتتفاوتی نداردزبانانگلیسی|متوسط ۵۰٪نرم افزارهاGoogle Data Studio|متوسطAhrefs|متوسطSemrush|پیشرفتهGoogle Tag Manager|متوسطGoogle Search Console|متوسطKeyword Planner|متوسطGoogle Analytics|متوسط",18 - 20 میلیون تومان,تمام وقت,تمام‌وقت,https://jobvision.ir/jobs/1199190/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-%DA%A9%D8%A7%D8%B1%D8%B4%D9%86%D8%A7%D8%B3-%D8%B3%D8%A6%D9%88-%D9%88-%D8%AA%D9%88%D9%84%DB%8C%D8%AF-%D9%85%D8%AD%D8%AA%D9%88%D8%A7,JobVision
10/5/2025 14:41,تدوینگر,گروه صنعتی پرداد,"تهران، سهروردی","شرح شغل و وظایف:
• سلام ما داخلگروه پردادبه دنبال یک تدوینگر هستیم که یه مقدار موشن هم بلد باشه برای محتوا های که خودمون ویدیو میگیرم و محتواهای که شما باید بسازی دوست داریم که خلاق باشه و بهترین خروجی رو برای برندینگ ما بگیره کار به صورتهیبریدی و دورکاریهست باید حتما تو جلسات حضور داشته باشید برای روز های ضبط و فیلم برداری و ادیت فیلم باید حتما پیشمون باشی و اگرم شرایط زیر رو داری حتما رزومه ات رو برامون بفرستتدوین ویدیوهای تبلیغاتی جهت انتشار در اینستاگرام، یوتیوبساخت موشن‌گرافیک‌های ساده و کاربردی متناسب با محتوای برندمهارت اصلاح رنگ و نور (Color Grading)توانایی مونتاژ و ادیت مطابق داستان‌سرایی و ریتم پروژهتوانایی کار با انواع هوش مصنوعی‌های مرتبط با این حوزهدقت و مسئولیت‌پذیری در تحویل پروژه‌هاخلاقیت در تصویربرداری و استفاده از امکانات دوربینخلاقیت در استفاده درست از لوکیشن و ایجاد نماهای خاص و مخاطب‌پسند با استفاده از دانش و امکانات موجودمدیریت و آرشیو فایل‌های پروژه و تحویل به‌موقع خروجی‌ها مطابق با زمان‌بندی پروژه‌هادرک عمیق از اصول طراحی گرافیک، ترکیب رنگ، تایپوگرافی و چیدمان بصریآشنایی با طراحی موشن‌گرافیک، ترنزیشن‌های خلاقانه و تایپوگرافی متحرکتوانایی درک سناریو و تبدیل آن به محتوای تصویری روان و جذابخلاقیت و نوآوری در تدوین و داستان‌سرایی تصویریهمکاری نزدیک با تیم‌های محتوا و سوشال مدیا جهت توسعه ایده‌ها و طرح‌های ویدیوییمدیریت زمان و انجام چند پروژه به طور همزمانپایبندی به استانداردهای کیفی و هویت بصری برندخلاقیت و نوآوری در طراحی حرکتی و ساخت گرافیک متحرکدقت بسیار زیاد به جزئیاتتسلط به نرم افزار After Effects - Adobe Primierتسلط کامل به Adobe Premiere برای تدوینتسلط به After Effects برای ساخت موشن‌گرافیک‌های سادهتسلط به تکنیک‌های تصویربرداری و اصول کادر بندی و قاب‌بندیتسلط به تکنیک های نورپردازی و صدابرداریتسلط به ضبط و تدوین ویدیو و صدا، با بهره‌گیری از نرم‌افزارهای روز تدوینتسلط به فیلم‌برداری با گوشی موبایل با خروجی باکیفیتآشنایی و تجربه کار با DaVinci Resolve (مزیت محسوب می‌شود)

شرایط احراز:
• سنتا 28 سالجنسیتتفاوتی نداردتحصیلاتکارشناسی|هنرکارشناسی|مدیریت / بازرگانی / کسب و کارکارشناسی|کامپیوتر / فناوری اطلاعاتکارشناسی|ارتباطات / رسانه / روابط عموم...",25 - 35 میلیون تومان,پاره وقت,دورکاری,https://jobvision.ir/jobs/1199803/%D8%A7%D8%B3%D8%AA%D8%AE%D8%AF%D8%A7%D9%85-%D8%AA%D8%AF%D9%88%DB%8C%D9%86%DA%AF%D8%B1,JobVision
